name,url,img,price,quantity,unitPrice,servingSize,kilojoules,protein,fat,fatSaturated,carb,sugar,sodium
Organic Instant Oats,https://www.coles.com.au/product/red-tractor-organic-instant-oats-1kg-3185300,https://productimages.coles.com.au/productimages/3/3185300.jpg,7.5,1,7.5,0.04,1567,12.4,8.5,1.5,56.8,1,2
Organic Steel Cut Oats,https://www.coles.com.au/product/red-tractor-organic-steel-cut-oats-1-kg-4979058,https://productimages.coles.com.au/productimages/4/4979058.jpg,7.5,1,7.5
Weet Bix Breakfast Cereal,https://www.coles.com.au/product/sanitarium-weet-bix-breakfast-cereal-575g-2001784,https://productimages.coles.com.au/productimages/2/2001784.jpg,4.4,0.575,7.7,0.031,1480,12.4,1.3,0.3,65.9,3,270
Quick Oats Honey Flavoured Sachets 12 Pack,https://www.coles.com.au/product/coles-quick-oats-honey-flavoured-sachets-12-pack-420g-2604189,https://productimages.coles.com.au/productimages/2/2604189.jpg,3.3,0.42,7.9,0.035,1619.4,11.3,,,63.9,16.8,7
Quick Oats Sachets Brown Sugar & Cinnamon,https://www.coles.com.au/product/coles-quick-oats-sachets-brown-sugar-and-cinnamon-420g-3954878,https://productimages.coles.com.au/productimages/3/3954878.jpg,3.3,0.42,7.9,0.035,1620,10.8,7.3,1.3,64.4,,7
I'M Free From Corn Flakes,https://www.coles.com.au/product/coles-i'm-free-from-corn-flakes-375g-1250466,https://productimages.coles.com.au/productimages/1/1250466.jpg,3,0.375,8,0.03,1573,8,1,0.2,80,,308
Quick Oats Porridge,https://www.coles.com.au/product/uncle-tobys-quick-oats-porridge-500g-152020,https://productimages.coles.com.au/productimages/1/152020.jpg,4,0.5,8,0.04,1600,12.8,9.2,1.7,56.7,1,6
Traditional Rolled Oats,https://www.coles.com.au/product/uncle-tobys-traditional-rolled-oats-500g-299732,https://productimages.coles.com.au/productimages/2/299732.jpg,4,0.5,8,0.04,1600,12.8,9.2,1.7,56.7,1,6
Simply Crunchy Oat Granola,https://www.coles.com.au/product/jordans-simply-crunchy-oat-granola-750g-2499255,https://productimages.coles.com.au/productimages/2/2499255.jpg,6,0.75,8,0.045,1830,10.3,13.9,2.2,62.9,15.6,4.9
Crunchy Clusters Cereal Honey,https://www.coles.com.au/product/carman's-crunchy-clusters-cereal-honey-750g-4967503,https://productimages.coles.com.au/productimages/4/4967503.jpg,6,0.75,8,0.04,1880,11,12,1.7,69.6,16.5,12
Crunchy Clusters Cereal Berry,https://www.coles.com.au/product/carman's-crunchy-clusters-cereal-berry-750g-4967730,https://productimages.coles.com.au/productimages/4/4967730.jpg,6,0.75,8,0.04,1670,9.4,10.3,1.5,63.5,14.1,36
Crunchy Clusters Cereal Apple,https://www.coles.com.au/product/carman's-crunchy-clusters-cereal-apple-750g-4967740,https://productimages.coles.com.au/productimages/4/4967740.jpg,6,0.75,8,0.04,1740,10.9,12.4,1.8,60.8,14.7,23
Crunchy Simply Oat Granola,https://www.coles.com.au/product/jordans-crunchy-simply-oat-granola-1.5kg-5283230,https://productimages.coles.com.au/productimages/5/5283230.jpg,12,1.5,8,0.045,1830,10.3,13.9,2.2,62.9,15.6,4.9
Mighty Grain Cereal,https://www.coles.com.au/product/coles-mighty-grain-cereal-560g-7973422,https://productimages.coles.com.au/productimages/7/7973422.jpg,4.5,0.56,8,0.03,1599.1,17.8,,,66.3,21.2,350
Corn Flakes Breakfast Cereal,https://www.coles.com.au/product/kellogg's-corn-flakes-breakfast-cereal-725g-8496249,https://productimages.coles.com.au/productimages/8/8496249.jpg,6,0.725,8.3,0.035,1620,7.9,1.8,0.3,81.4,8.9,485
Frooty Rings,https://www.coles.com.au/product/coles-frooty-rings-300g-2057574,https://productimages.coles.com.au/productimages/2/2057574.jpg,2.5,0.3,8.3,0.03,1610,7.2,1.4,1,82.5,15.6,230
Liquid Brekkie Chocolate 3x250mL,https://www.coles.com.au/product/nexba-liquid-brekkie-chocolate-3x250ml-750ml-5266468,https://productimages.coles.com.au/productimages/5/5266468.jpg,6.25,0.75,8.3
Liquid Brekkie Vanilla 3x250mL,https://www.coles.com.au/product/nexba-liquid-brekkie-vanilla-3x250ml-750ml-5266490,https://productimages.coles.com.au/productimages/5/5266490.jpg,6.25,0.75,8.3
