name,url,img,price,quantity,unitPrice,servingSize,kilojoules,protein,fat,fatSaturated,carb,sugar,sodium
Classic Creamy Tomato Soup Can,https://www.coles.com.au/product/heinz-classic-creamy-tomato-soup-can-535g-2288920,https://productimages.coles.com.au/productimages/2/2288920.jpg,2.2,0.535,4.1,0.265,190,0.8,1.6,0.9,6.6,4,360
Big'N Chunky Peppered Steak Soup,https://www.coles.com.au/product/heinz-big'n-chunky-peppered-steak-soup-535g-4391170,https://productimages.coles.com.au/productimages/4/4391170.jpg,2.6,0.535,4.9,0.265,225,3.6,0.7,0.4,7.7,1.4,230
Classic Creamy Pumpkin Soup Can,https://www.coles.com.au/product/heinz-classic-creamy-pumpkin-soup-can-535g-7977128,https://productimages.coles.com.au/productimages/7/7977128.jpg,2.2,0.535,4.1,0.265,165,1.3,0.3,0.2,6.9,2.2,220
Classic Italian Minestrone Soup Can,https://www.coles.com.au/product/heinz-classic-italian-minestrone-soup-can-535g-8416239,https://productimages.coles.com.au/productimages/8/8416239.jpg,2.2,0.535,4.1,0.265,170,2,0.2,0.1,6.5,2.4,255
Big'N Chunky Beef And Veggies Soup,https://www.coles.com.au/product/heinz-big'n-chunky-beef-and-veggies-soup-535g-9188810,https://productimages.coles.com.au/productimages/9/9188810.jpg,2.6,0.535,4.9,0.265,190,3.1,0.6,0.2,6.5,1.5,290
Classic Pea & Ham Soup Can,https://www.coles.com.au/product/heinz-classic-pea-and-ham-soup-can-535g-9188923,https://productimages.coles.com.au/productimages/9/9188923.jpg,2.2,0.535,4.1,0.265,225,3.7,0.8,0.2,6.2,2.4,360
Classic Chicken & Sweet Corn Soup Can,https://www.coles.com.au/product/heinz-classic-chicken-and-sweet-corn-soup-can-535g-9682373,https://productimages.coles.com.au/productimages/9/9682373.jpg,2.2,0.535,4.1,0.265,200,1.9,1.1,0.4,7.2,1.4,300
Canned Prunes In Natural Juice,https://www.coles.com.au/product/spc-canned-prunes-in-natural-juice-425g-2360619,https://productimages.coles.com.au/productimages/2/2360619.jpg,3.5,0.425,8.24,0.125,108,0.3,0.1,0.1,11.9,7.9,5
Tuna Springwater,https://www.coles.com.au/product/coles-tuna-springwater-425g-2902438,https://productimages.coles.com.au/productimages/2/2902438.jpg,3.5,0.425,8.24,0.069,,,,,,,295
Tuna in Brine,https://www.coles.com.au/product/coles-tuna-in-brine-425g-4845787,https://productimages.coles.com.au/productimages/4/4845787.jpg,3.5,0.425,8.24,0.069,,20.6,,1,,,370
